start_frequency,end_frequency
1964.5000038146973,1973.625003784895
1973.7500038146973,1974.250003784895
1974.5000038146973,1975.500003784895
1975.7500038146973,1976.250003784895
1976.5000038146973,1976.625003784895
1976.7500038146973,1977.375003784895
1977.5000038146973,1981.250003784895
1981.5000038146973,1981.625003784895
1981.7500038146973,1982.250003784895
1982.5000038146973,1991.500003784895
1992.7500038146973,1995.250003784895
1995.3750038146973,1995.500003784895
1995.6250038146973,1996.250003784895
1996.5000038146973,1996.625003784895
1996.7500038146973,1997.250003784895
1997.7500038146973,1998.250003784895
1998.7500038146973,1999.250003784895
1999.7500038146973,2000.250003784895
2000.7500038146973,2001.250003784895
2001.8750038146973,2002.125003784895
2002.7500038146973,2003.250003784895
2003.3750038146973,2003.500003784895
2003.8750038146973,2004.250003784895
2004.7500038146973,2005.250003784895
2005.7500038146973,2006.250003784895
2009.0000038146973,2009.125003784895
2011.6250038146973,2012.375003784895
2012.7500038146973,2013.000003784895
2015.8750038146973,2016.125003784895
2020.7500038146973,2021.000003784895
2022.8750038146973,2023.125003784895
2024.7500038146973,2025.125003784895
2025.8750038146973,2026.125003784895
2026.7500038146973,2026.875003784895
2027.5000038146973,2032.250003784895
2032.8750038146973,2033.250003784895
2033.7500038146973,2034.250003784895
2034.7500038146973,2035.250003784895
2035.8750038146973,2036.125003784895
2037.8750038146973,2038.125003784895
2038.8750038146973,2039.125003784895
2039.8750038146973,2040.125003784895
2040.8750038146973,2041.125003784895
2041.8750038146973,2042.125003784895
2042.8750038146973,2043.000003784895
2044.7500038146973,2045.125003784895
2045.8750038146973,2046.125003784895
2046.8750038146973,2047.125003784895
2047.8750038146973,2048.125003784895
2048.8750038146973,2049.125003784895
2049.8750038146973,2050.125003784895
2050.8750038146973,2051.125003784895
2051.7500038146973,2052.125003784895
2052.7500038146973,2053.125003784895
2053.8750038146973,2054.125003784895
2054.8750038146973,2055.125003784895
2055.8750038146973,2056.125003784895
2056.8750038146973,2057.125003784895
2057.8750038146973,2058.125003784895
2058.8750038146973,2059.125003784895
2059.8750038146973,2060.125003784895
2092.5000038146973,2093.125003784895
2093.2500038146973,2093.500003784895
2093.8750038146973,2094.125003784895
2094.2500038146973,2094.375003784895
2094.8750038146973,2095.125003784895
2095.8750038146973,2096.250003784895
2096.7500038146973,2097.250003784895
2097.3750038146973,2098.250003784895
2098.7500038146973,2099.250003784895
2099.3750038146973,2124.500003784895
2156.5000038146973,2157.000003784895
2157.3750038146973,2157.500003784895
2158.8750038146973,2159.125003784895
2159.8750038146973,2160.125003784895
2160.7500038146973,2161.250003784895
2161.8750038146973,2162.250003784895
2162.7500038146973,2163.250003784895
2163.7500038146973,2164.250003784895
2164.7500038146973,2165.250003784895
2165.7500038146973,2166.250003784895
2166.7500038146973,2167.250003784895
2167.7500038146973,2168.125003784895
2168.7500038146973,2169.250003784895
2169.5000038146973,2290.0
2290.0000038146973,2290.250003784895
2294.7500038146973,2294.875003784895
2297.0000038146973,2297.125003784895
2298.8750038146973,2299.000003784895
2300.0000038146973,2300.125003784895
2303.8750038146973,2304.125003784895
2304.2500038146973,2304.375003784895
2305.2500038146973,2305.375003784895
2306.2500038146973,2306.375003784895
2308.0000038146973,2308.125003784895
2308.5000038146973,2308.625003784895
2310.8750038146973,2311.000003784895
2313.1250038146973,2313.250003784895
2314.5,2345.0
2345.0000038146973,2345.250003784895
2345.8750038146973,2346.125003784895
2347.5000038146973,2347.625003784895
2347.7500038146973,2347.875003784895
2348.1250038146973,2349.000003784895
2349.3750038146973,2349.500003784895
2350.0000038146973,2350.125003784895
2352.0000038146973,2352.125003784895
2352.3750038146973,2352.500003784895
2354.6250038146973,2354.750003784895
2356.8750038146973,2357.000003784895
2359.2500038146973,2359.375003784895
2361.5000038146973,2361.625003784895
2363.8750038146973,2364.000003784895
2366.1250038146973,2366.250003784895
2367.5000038146973,2367.625003784895
2368.0000038146973,2368.125003784895
2368.5000038146973,2368.625003784895
2370.7500038146973,2370.875003784895
2373.0000038146973,2373.125003784895
2374.8750038146973,2375.000003784895
2375.3750038146973,2375.500003784895
2377.6250038146973,2377.750003784895
2379.5000038146973,2379.625003784895
2380.0000038146973,2381.000003784895
2381.3750038146973,2381.500003784895
2382.2500038146973,2382.375003784895
2386.8750038146973,2387.000003784895
2387.5,2387.5
2391.5000038146973,2391.625003784895
2393.7500038146973,2393.875003784895
2396.1250038146973,2396.250003784895
2396.8750038146973,2397.000003784895
2400.0,2500.000003784895
2502.1250038146973,2502.250003784895
2504.8750038146973,2505.000003784895
2505.8750038146973,2506.000003784895
2506.6250038146973,2506.750003784895
2508.1250038146973,2509.125003784895
2509.3750038146973,2509.500003784895
2511.2500038146973,2511.375003784895
2515.8750038146973,2516.000003784895
2522.7500038146973,2523.000003784895
2524.7500038146973,2524.875003784895
2525.1250038146973,2525.250003784895
2526.8750038146973,2527.500003784895
2529.7500038146973,2529.875003784895
2532.0000038146973,2532.125003784895
2534.8750038146973,2535.000003784895
2536.6250038146973,2536.750003784895
2538.8750038146973,2539.125003784895
2539.5000038146973,2539.750003784895
2540.1250038146973,2541.125003784895
2541.3750038146973,2541.500003784895
2541.8750038146973,2542.125003784895
2542.8750038146973,2543.125003784895
2545.8750038146973,2546.000003784895
2548.1250038146973,2548.250003784895
2551.0000038146973,2551.125003784895
2556.1250038146973,2556.375003784895
2556.6250038146973,2556.750003784895
2556.8750038146973,2557.000003784895
2557.8750038146973,2558.000003784895
2559.8750038146973,2560.125003784895
2562.0000038146973,2562.125003784895
2564.5000038146973,2564.625003784895
2564.7500038146973,2565.000003784895
2568.8750038146973,2569.000003784895
2571.5000038146973,2571.625003784895
2572.1250038146973,2572.500003784895
2604.5000038146973,2605.000003784895
2605.1250038146973,2605.500003784895
2610.8750038146973,2611.000003784895
2611.7500038146973,2615.375003784895
2615.7500038146973,2616.125003784895
2617.8750038146973,2618.125003784895
2618.8750038146973,2619.000003784895
2620.1250038146973,2620.250003784895
2620.3750038146973,2620.500003784895
2620.7500038146973,2620.875003784895
2621.5000038146973,2621.875003784895
2622.3750038146973,2636.500003784895
2668.5000038146973,2669.000003784895
2669.3750038146973,2669.500003784895
2673.1250038146973,2673.250003784895
2677.8750038146973,2678.125003784895
2680.0000038146973,2680.125003784895
2681.5000038146973,2681.875003784895
2682.3750038146973,2691.625003784895
2692.0000038146973,2692.125003784895
2692.2500038146973,2693.500003784895
2693.8750038146973,2694.000003784895
2694.1250038146973,2694.250003784895
2694.3750038146973,2694.875003784895
2695.3750038146973,2696.625003784895
2697.1250038146973,2697.500003784895
2698.5000038146973,2699.625003784895
2699.8750038146973,2701.000003784895
2701.3750038146973,2701.625003784895
2702.3750038146973,2702.500003784895
2703.0000038146973,2703.125003784895
2703.7500038146973,2703.875003784895
2704.5000038146973,2704.625003784895
2704.8750038146973,2705.000003784895
2705.3750038146973,2705.500003784895
2705.8750038146973,2706.125003784895
2707.0000038146973,2707.125003784895
2707.3750038146973,2707.625003784895
2707.8750038146973,2708.125003784895
2709.0000038146973,2709.250003784895
2710.0000038146973,2710.250003784895
2710.8750038146973,2711.125003784895
2711.7500038146973,2712.125003784895
2714.0000038146973,2714.125003784895
2719.8750038146973,2720.000003784895
2721.0000038146973,2721.125003784895
2723.0000038146973,2723.125003784895
2726.1250038146973,2726.250003784895
2727.8750038146973,2728.000003784895
2730.8750038146973,2731.000003784895
2731.5000038146973,2731.625003784895
2732.1250038146973,2733.125003784895
2733.3750038146973,2733.500003784895
2739.8750038146973,2740.000003784895
2740.8750038146973,2741.125003784895
2749.3750038146973,2749.625003784895
2750.3750038146973,2750.500003784895
2750.7500038146973,2751.125003784895
2751.2500038146973,2751.375003784895
2753.5000038146973,2753.625003784895
2753.8750038146973,2754.000003784895
2754.1250038146973,2754.250003784895
2754.3750038146973,2754.625003784895
2754.7500038146973,2754.875003784895
2755.0000038146973,2755.125003784895
2755.3750038146973,2755.500003784895
2757.6250038146973,2757.750003784895
2757.8750038146973,2758.000003784895
2758.1250038146973,2758.250003784895
2761.8750038146973,2762.000003784895
2763.0000038146973,2763.250003784895
2763.5000038146973,2763.625003784895
2763.7500038146973,2763.875003784895
2764.1250038146973,2765.000003784895
2765.3750038146973,2765.500003784895
2768.0000038146973,2768.125003784895
2768.5000038146973,2768.625003784895
2769.5000038146973,2769.625003784895
2769.8750038146973,2770.000003784895
2777.3750038146973,2777.500003784895
2778.3750038146973,2778.625003784895
2779.5000038146973,2779.625003784895
2782.2500038146973,2782.500003784895
2791.0,2791.0
2795.5000038146973,2795.625003784895
2796.1250038146973,2797.000003784895
2797.3750038146973,2797.500003784895
2800.5000038146973,2800.625003784895
2801.5000038146973,2801.625003784895
2806.7500038146973,2806.875003784895
2809.0000038146973,2809.125003784895
2815.8750038146973,2816.125003784895
2820.5000038146973,2820.625003784895
2822.8750038146973,2823.000003784895
2825.1250038146973,2825.250003784895
2828.1250038146973,2829.000003784895
2829.3750038146973,2829.500003784895
2829.7500038146973,2829.875003784895
2831.5000038146973,2831.750003784895
2832.0000038146973,2836.500003784895
2837.0000038146973,2837.125003784895
2839.0000038146973,2839.125003784895
2839.5000038146973,2839.750003784895
2839.8750038146973,2844.500003784895
2847.0000038146973,2847.125003784895
2847.6250038146973,2847.750003784895
2848.5000038146973,2848.875003784895
2849.0000038146973,2849.375003784895
2849.6250038146973,2849.750003784895
2850.5000038146973,2850.625003784895
2850.8750038146973,2851.125003784895
2851.5000038146973,2851.625003784895
2852.1250038146973,2852.250003784895
2852.7500038146973,2852.875003784895
2853.3750038146973,2853.500003784895
2859.7500038146973,2859.875003784895
2860.1250038146973,2861.000003784895
2861.3750038146973,2861.500003784895
2862.0000038146973,2862.125003784895
2868.8750038146973,2869.000003784895
2873.5000038146973,2873.625003784895
2875.8750038146973,2876.000003784895
2878.1250038146973,2878.250003784895
2882.7500038146973,2882.875003784895
2885.0000038146973,2885.250003784895
2887.3750038146973,2887.500003784895
2889.6250038146973,2889.750003784895
2892.0000038146973,2892.125003784895
2892.3750038146973,2892.625003784895
2892.7500038146973,2893.000003784895
2893.3750038146973,2893.500003784895
2898.8750038146973,2899.000003784895
2901.2500038146973,2901.375003784895
2905.7500038146973,2905.875003784895
2908.1250038146973,2908.250003784895
2912.7500038146973,2912.875003784895
2915.0000038146973,2915.125003784895
2917.3750038146973,2917.500003784895
2921.8750038146973,2922.000003784895
2923.5000038146973,2923.625003784895
2924.1250038146973,2924.500003784895
2956.7500038146973,2956.875003784895
2961.1250038146973,2961.250003784895
2963.3750038146973,2963.500003784895
2964.3750038146973,2964.500003784895
2965.7500038146973,2965.875003784895
2968.0000038146973,2968.125003784895
2974.8750038146973,2975.000003784895
2979.5000038146973,2979.625003784895
2984.1250038146973,2984.250003784895
2987.5000038146973,2987.875003784895
2988.0000038146973,2988.500003784895
3085.0000038146973,3085.125003784895
3091.8750038146973,3092.000003784895
3095.0000038146973,3095.125003784895
3102.8750038146973,3103.000003784895
3115.5000038146973,3115.750003784895
3116.1250038146973,3117.000003784895
3117.2500038146973,3117.500003784895
3140.8750038146973,3141.125003784895
3141.8750038146973,3142.125003784895
3142.8750038146973,3143.000003784895
3143.8750038146973,3144.000003784895
3180.5000038146973,3181.000003784895
3197.8750038146973,3198.000003784895
3199.8750038146973,3200.125003784895
3220.8750038146973,3221.000003784895
3243.5000038146973,3243.625003784895
3244.1250038146973,3245.000003784895
3245.3750038146973,3245.500003784895
3275.5000038146973,3275.625003784895
3276.1250038146973,3277.000003784895
3277.3750038146973,3277.500003784895
3288.0000038146973,3288.125003784895
3288.8750038146973,3289.125003784895
3289.8750038146973,3290.125003784895
3290.8750038146973,3291.125003784895
3292.8750038146973,3293.125003784895
3293.8750038146973,3294.125003784895
3294.8750038146973,3295.125003784895
3307.5000038146973,3307.625003784895
3308.1250038146973,3309.000003784895
3309.3750038146973,3309.500003784895
3327.8750038146973,3328.125003784895
3340.1250038146973,3340.500003784895
3340.6250038146973,3341.000003784895
3348.2500038146973,3348.375003784895
3371.5000038146973,3371.625003784895
3372.1250038146973,3373.000003784895
3373.3750038146973,3373.500003784895
3404.2500038146973,3405.000003784895
3405.3750038146973,3405.500003784895
3413.3750038146973,3413.500003784895
3414.3750038146973,3414.500003784895
3426.0000038146973,3426.125003784895
3435.5000038146973,3435.625003784895
3436.1250038146973,3436.500003784895
3468.7500038146973,3469.000003784895
3479.0000038146973,3479.125003784895
3495.0000038146973,3495.125003784895
3499.5000038146973,3499.750003784895
3500.1250038146973,3500.500003784895
3596.5000038146973,3597.000003784895
3597.3750038146973,3597.500003784895
3606.000003814697,3606.1250037848954
3610.000003814697,3610.1250037848954
3613.750003814697,3613.8750037848954
3614.000003814697,3614.1250037848954
3614.500003814697,3614.6250037848954
3615.250003814697,3615.3750037848954
3615.500003814697,3615.7500037848954
3627.500003814697,3627.7500037848954
3628.125003814697,3629.0000037848954
3629.125003814697,3629.5000037848954
3630.000003814697,3630.1250037848954
3644.125003814697,3644.2500037848954
3656.625003814697,3657.3750037848954
3660.125003814697,3660.5000037848954
3692.500003814697,3693.1250037848954
3693.375003814697,3693.5000037848954
3699.500003814697,3699.6250037848954
3700.0,4200.0
5648.5,5670.5
5695.5,5704.5
5742.5,5757.5
5765.0,5769.0
5796.0,5804.0
6108.1,6167.75
6182.0,6212.0
6360.14,6419.79
6772.0,6778.0
7250.0,7850.0
9300.0,9900.0
10740.0,10770.0
10820.0,10850.0
10957.0,10993.0
11037.0,11073.0
11230.0,11260.0
11310.0,11340.0
11447.0,11483.0
11527.0,11563.0
11700.0,12000.0
